,id,Tweets,Sentiment
0,0,"भारत समेत दुनिया भर में छंटनी की रफ्तार थमने का नाम नहीं ले रही है.

#Layoffs #EYLayoffs #Business

https://t.co/1Qq80f070K",0
1,1,"Accenture Layoffs: యాక్సెంచర్ లో 19 వేల మంది ఉద్యోగులు ఔట్..!?
#Accenture #Layoffs #Hiring #employees #HashtagU
https://t.co/5jBnj6kP5t",0
2,2,"𝐉𝐨𝐢𝐧 𝐭𝐡𝐢𝐬 𝐭𝐞𝐥𝐞𝐠𝐫𝐚𝐦 𝐠𝐫𝐨𝐮𝐩 𝐟𝐨𝐫 𝐩𝐫𝐞𝐦𝐢𝐮𝐦 𝐉𝐨𝐛𝐬/Notes
👉 https://t.co/4ypOmFXWc4
https://t.co/mQ4Q3Js1TZ

 #coding #interviewpreparation  #notes #maang #layoffs #connections",0
3,3,"EY to cut 3,000 jobs in United States: Report
#EY #ErnstandYoung #layoffs #layoffs2023 
https://t.co/WgF6iXVCI7",0
4,4,"If you found this useful, check out the Offboard newsletter at https://t.co/bMmigVUjHy where we help job seekers stay informed with the latest market trends, tools, and advice so you can more effectively land your next opportunity. #careers #jobsearch #interview #layoffs",1
5,5,"EP 2597 Daniel Space, Dan from HR on TikTok, wrote a terrific post with advice for how to announce on LinkedIn you were laid off &amp; provide a call to action for people to know to help. https://t.co/iQ0CpdezNQ  #videopodcast #laidoff #linkedin #layoff #layoffs #nobsjobsearchadvice https://t.co/7hjF0DvGkc",1
6,6,A bolha de TI estourou? 😮 #layoffs,0
7,7,"Layoffs at Ernst &amp; Young: EY To Cut 3,000 Jobs or 5% of Its Workforce in US Due to ‘Overcapacity’, Says Report 
#Layoffs #layoffs2023 #ErnstandYoung #US 
https://t.co/35Q5Ol5kq2",-1
8,8,"#OutlookBusiness | After calling off split plans, Ernst &amp; Young have reportedly resorted to #layoffs. Read👇🏻

#Ernst&amp;Young #ErnstAndYoung #EY #EYLayoffs #Layoffs2023 #Ernst&amp;YoungLayoffs #Recession #JobCuts #USJobs

https://t.co/N98NZuOcYN",0
9,9,"Accenture announces 19,000 layoffs and delays fresher hiring as part of its cost-cutting measures. #Accenture #layoffs #costcutting https://t.co/MChwHpwrGJ",0
10,10,"Ernst &amp; Young's US arm said on Monday it was shedding 5% of its workforce, less than a week after the unit's objection torpedoed the global accounting giant's plan to break up its audit and consulting units. | #ErnstandYoung #layoffs | 

https://t.co/5s0cg5PvEf",0
11,11,"Truist Financial Corp. is cutting 80 employees in its Atlanta and Memphis
https://t.co/AcdeU5nlU1    #Truist   #banking    #layoffs   #employees    #Memphis    #Atlanta",-1
12,12,"Employee layoffs: Understanding the impact on employees. Learn about layoffs' emotional and professional effects on individuals and organizations. Let's create a supportive workplace during challenging times. #Layoffs #EmployeeWellbeing
https://t.co/YNNYiyMQis",1
13,13,"Ernst &amp; Young's US arm on Monday said it was shedding 5 percent of its workforce. 

The layoffs will affect around 3,000 of the company's US employees.

Read more here: 

#EY #EYLayoffs #Layoffs #JobCuts #USJobs #USJobCuts #USLayoffs

https://t.co/UzkkVrqQUO",0
14,14,@wonsulting I'm in desperate need of a job please help me. #layoffs,1
15,15,#Recruiters Try Asking #Tech Workers affected by #LayOffs to Return to the Same Companies as #Contractors  https://t.co/9D7efjXHaf https://t.co/29azLARX2B,-1
